city,level,population,households,school,college,hospital,doctors,clinic,dentist,restaurant,fast_food,supermarket,convenience,park,platform,station
新十津川町,7,6389,2976,3,0,1,0,0,0,1,0,0,3,12,0,0
妹背牛町,7,2691,1359,3,0,0,0,0,0,1,0,0,1,1,1,1
秩父別町,7,2297,1097,2,0,0,0,0,0,0,0,0,0,3,2,2
雨竜町,7,2154,1053,2,0,0,0,0,0,0,0,0,1,3,0,0
北竜町,7,1674,789,2,0,1,0,0,0,1,0,0,0,4,0,0
沼田町,7,2900,1458,2,0,0,0,0,0,0,0,1,1,3,1,1
鷹栖町,7,6666,3117,5,0,0,0,0,0,0,0,0,1,13,45,0
東神楽町,7,9945,4362,5,0,0,0,0,0,1,0,0,1,20,42,0
当麻町,7,6174,3017,4,0,0,0,0,0,2,0,1,1,6,0,2
比布町,7,3505,1768,1,0,0,0,0,0,1,0,0,1,8,0,2
愛別町,7,2569,1317,3,0,0,0,0,0,0,0,1,1,4,3,3
上川町,7,3202,1891,3,0,0,0,0,0,2,0,1,4,3,3,1
東川町,7,8601,4247,7,0,0,0,0,0,18,2,2,2,7,52,0
美瑛町,7,9573,4804,9,0,1,0,0,0,14,2,3,3,27,2,3
上富良野町,7,10110,5262,7,0,1,0,0,0,5,0,1,4,14,0,1
中富良野町,7,4686,2178,6,0,0,0,0,0,6,0,0,5,3,1,4
南富良野町,7,2341,1336,4,0,0,3,0,0,4,0,1,0,2,52,0
占冠村,7,1394,938,3,0,0,0,0,0,15,0,0,1,6,38,2
和寒町,7,3006,1530,3,0,0,0,1,0,2,0,1,2,8,2,2
剣淵町,7,2888,1432,3,0,0,0,0,0,0,0,0,0,2,0,1
下川町,7,3027,1650,3,0,1,0,0,1,8,0,2,1,5,1,0
美深町,7,3890,2073,5,0,1,0,0,0,3,0,1,2,4,65,1
音威子府村,7,668,454,4,0,0,0,0,0,4,0,0,1,3,6,4
中川町,7,1336,729,3,0,0,1,0,0,2,0,0,1,3,17,2
幌加内町,7,1308,710,6,0,0,0,0,0,2,0,1,1,4,0,0
増毛町,7,3853,2146,5,0,0,0,0,1,3,0,0,4,5,0,0
小平町,7,2838,1531,4,0,0,0,0,0,2,0,0,4,2,0,0
苫前町,7,2839,1472,5,0,0,0,0,0,0,0,0,2,6,0,0
羽幌町,7,6361,3431,7,0,1,1,0,0,5,0,4,4,23,0,0
初山別村,7,1081,526,2,0,0,0,0,0,1,0,0,1,8,0,0
遠別町,7,2423,1288,3,0,0,0,0,0,2,0,1,1,8,2,0
天塩町,7,2814,1470,4,0,0,0,0,0,9,0,4,2,5,55,0
猿払村,7,2637,1249,6,0,1,0,0,0,1,0,0,1,3,0,0
浜頓別町,7,3351,1846,4,0,1,0,0,0,3,0,1,2,3,0,0
中頓別町,7,1570,855,2,0,1,0,0,0,0,0,0,1,4,0,0
枝幸町,7,7467,3852,13,0,0,0,0,0,3,0,0,2,5,0,0
豊富町,7,3702,1949,7,0,2,0,0,0,5,1,3,2,5,33,2
礼文町,7,2314,1223,8,0,2,0,0,0,6,1,1,0,2,0,0
利尻町,7,1894,1029,3,0,0,0,0,1,7,0,1,1,4,1,0
利尻富士町,7,2259,1217,4,0,0,1,0,0,4,0,1,1,1,0,0
幌延町,7,2196,1230,5,0,0,3,0,0,4,0,3,1,8,20,6
美幌町,7,18171,9396,7,0,3,0,1,0,3,3,3,10,34,43,1
津別町,7,4211,2189,3,0,2,0,0,0,3,0,1,2,8,95,0
斜里町,7,10888,5456,5,0,1,1,0,4,16,1,4,9,26,2,2
清里町,7,3803,1737,4,0,0,0,1,1,2,0,1,2,3,3,3
小清水町,7,4501,2027,3,0,1,0,0,0,1,0,1,3,6,0,3
訓子府町,7,4636,2076,4,0,0,0,1,0,0,0,1,2,8,37,0
置戸町,7,2671,1384,3,0,0,0,0,0,0,0,1,1,2,52,0
佐呂間町,7,4767,2393,5,0,0,0,1,2,0,0,4,2,4,1,0
遠軽町,7,18511,9919,18,0,2,1,0,0,5,0,4,10,12,35,7
湧別町,7,8096,4021,10,0,0,0,0,0,2,0,1,2,4,1,0
滝上町,7,2363,1337,3,0,0,0,0,0,0,0,0,1,0,0,0
興部町,7,3595,1772,3,0,1,0,0,0,0,0,0,0,1,0,0
西興部村,7,1030,659,3,0,0,0,0,0,0,0,0,1,2,0,0
雄武町,7,4130,2172,5,0,1,0,0,0,0,0,1,0,4,0,0
大空町,7,6771,3035,7,0,1,0,0,1,3,0,2,5,10,4,2
豊浦町,7,3627,2039,7,0,1,0,0,0,4,0,0,1,6,13,4
壮瞥町,7,2362,1287,3,0,1,0,0,0,7,1,1,3,6,1,0
白老町,7,15721,9308,9,0,1,0,0,0,7,0,2,7,21,10,6
厚真町,7,4381,2129,5,0,0,1,0,2,8,0,3,1,7,12,1
洞爺湖町,7,8147,4728,8,0,2,0,1,2,27,0,2,10,20,2,1
安平町,7,7314,3968,4,0,1,0,1,2,14,1,2,5,9,2,4
むかわ町,7,7488,4024,7,0,1,0,1,0,4,0,3,5,2,161,2
平取町,7,4594,2411,9,0,0,0,0,0,5,0,2,3,4,115,0
新冠町,7,5187,2776,3,0,1,0,0,0,5,0,1,3,2,38,0
浦河町,7,11694,6688,8,0,1,3,0,1,6,0,3,10,12,69,0
様似町,7,3983,2088,2,0,0,0,0,0,3,1,1,3,3,2,0
えりも町,7,4320,2083,7,0,0,0,0,0,0,0,0,3,2,7,0
新ひだか町,7,21040,11434,11,0,3,12,2,7,24,7,5,19,14,157,0
音更町,7,43268,20699,18,1,4,0,0,0,5,0,3,4,47,0,0
士幌町,7,5883,2754,8,0,0,1,0,3,10,1,2,8,9,0,0
上士幌町,7,4890,2590,6,0,3,2,0,1,21,1,7,2,16,2,0
鹿追町,7,5144,2492,8,0,0,0,0,0,3,0,2,0,9,2,0
新得町,7,5581,3230,6,0,0,0,2,0,8,1,2,4,5,1,1
芽室町,7,18029,8021,10,0,0,0,0,0,2,0,2,3,27,3,2
中札内村,7,3902,1932,4,0,1,0,0,0,6,0,1,0,9,0,0
更別村,7,3158,1365,4,0,2,0,1,1,9,0,0,5,1,0,0
大樹町,7,5439,2794,3,0,1,0,0,0,1,0,1,2,5,0,0
広尾町,7,6229,3231,4,0,0,0,0,0,1,0,2,2,2,0,0
幕別町,7,25897,12601,18,0,1,0,0,0,1,0,2,1,67,0,2
豊頃町,7,2977,1464,3,0,1,0,0,0,0,0,0,2,3,0,2
本別町,7,6375,3464,6,1,1,0,0,0,0,0,1,0,11,0,0
足寄町,7,6350,3359,7,0,0,0,0,0,2,0,0,3,12,2,0
陸別町,7,2217,1283,2,0,0,0,1,0,1,0,1,1,2,8,0
浦幌町,7,4302,2199,4,0,0,0,0,0,0,0,0,0,4,2,3
釧路町,7,18879,9663,11,0,0,0,0,0,13,7,8,11,35,4,4
厚岸町,7,8589,4266,9,0,1,0,0,0,2,0,2,4,10,2,4
浜中町,7,5411,2490,8,0,1,0,0,0,0,0,0,2,6,2,3
標茶町,7,7179,3672,9,0,0,0,0,0,3,0,0,1,5,0,4
弟子屈町,7,6699,3784,8,0,1,0,0,0,6,0,1,5,6,6,3
鶴居村,7,2485,1206,5,0,1,0,0,0,0,0,1,1,1,0,0
白糠町,7,7234,3957,5,0,0,0,0,0,5,0,0,6,26,8,3
別海町,7,14372,6817,17,0,0,0,0,0,4,0,1,5,8,3,0
中標津町,7,22729,11456,10,0,1,1,1,5,23,8,8,18,19,0,0
標津町,7,4952,2359,4,0,0,0,0,0,1,0,0,4,3,2,0
羅臼町,7,4488,2023,5,0,0,0,0,0,3,0,1,2,3,2,0
青森市,7,271544,137074,102,5,12,10,99,55,540,61,71,120,140,276,19
弘前市,7,164243,80632,53,1,15,15,30,22,131,32,30,76,129,667,18
八戸市,7,221229,110195,120,11,16,12,82,50,367,26,48,126,224,682,13
黒石市,7,31557,13930,9,0,0,0,1,1,10,3,6,10,12,106,2
五所川原市,7,51637,25629,16,0,2,7,16,13,48,13,17,26,32,161,10
十和田市,7,59024,28054,26,4,4,1,17,9,126,5,24,27,24,0,0
三沢市,7,38274,19517,13,0,4,0,10,6,116,10,11,23,38,2,1
むつ市,7,53884,28582,16,1,2,2,2,3,21,9,12,24,33,2,5
つがる市,7,30185,13505,9,0,0,0,0,2,10,7,7,9,10,136,4
平川市,7,30126,12255,12,0,0,1,0,0,5,3,4,6,8,72,7
平内町,7,10187,4803,2,0,0,0,2,0,17,1,2,5,9,2,4
今別町,7,2311,1335,2,0,1,0,0,0,6,0,0,1,5,9,6
蓬田村,7,2581,1131,2,0,0,0,0,0,0,0,0,0,0,2,4
外ヶ浜町,7,5358,2716,4,0,1,0,1,1,8,0,1,2,4,6,6
鰺ヶ沢町,7,8981,4398,3,0,1,1,0,2,9,1,2,3,5,79,2
深浦町,7,7280,3552,3,0,0,0,0,0,5,0,1,1,10,51,17
西目屋村,7,1272,550,1,0,0,0,0,0,0,0,0,0,2,4,0
藤崎町,7,14578,6160,2,0,1,0,0,0,3,2,1,5,3,21,3
大鰐町,7,8688,4115,2,0,1,1,0,0,1,0,1,2,1,41,5
田舎館村,7,7419,2835,0,0,0,0,0,0,3,0,0,2,3,24,3
板柳町,7,12714,5455,2,0,0,0,0,1,2,3,2,3,15,19,1
鶴田町,7,11988,5365,4,0,0,3,0,1,5,1,4,10,2,22,2
中泊町,7,10000,4967,6,0,0,4,0,1,7,0,1,3,10,50,3
野辺地町,7,12341,6372,4,0,1,0,5,6,40,1,3,6,6,3,3
七戸町,7,14631,6843,7,0,0,0,0,0,2,0,1,3,10,4,1
六戸町,7,10836,4644,5,0,0,0,0,0,0,0,0,3,4,0,0
横浜町,7,4286,2145,4,0,0,1,1,1,9,0,2,5,5,0,4
東北町,7,16625,7251,4,0,0,0,4,1,21,0,8,7,9,2,4
六ヶ所村,7,9886,4996,7,0,1,0,0,0,4,0,0,3,25,6,0
おいらせ町,7,25284,10815,9,0,2,0,0,1,5,1,4,9,8,4,2
大間町,7,4870,2500,2,0,1,0,0,0,26,0,4,2,4,0,0
東通村,7,5923,2828,2,0,0,0,0,0,0,0,0,0,5,0,0
風間浦村,7,1690,866,5,0,0,0,0,0,3,0,1,1,2,0,0
佐井村,7,1734,878,3,0,0,0,0,0,3,0,1,0,1,0,0
三戸町,7,9172,4147,4,1,1,0,2,1,11,1,5,2,4,2,1
五戸町,7,16088,7041,8,0,1,0,0,0,0,0,2,3,2,0,0
田子町,7,4986,2103,4,0,0,0,0,0,1,0,0,0,6,0,0
階上町,7,12909,6022,11,0,0,0,0,1,16,0,3,6,16,5,2
新郷村,7,2211,901,4,0,0,0,0,0,0,0,0,0,3,0,0
盛岡市,7,282960,138238,84,6,15,27,28,21,175,22,40,87,330,216,13
宮古市,7,48038,22959,31,2,4,2,1,3,18,7,11,13,31,52,22
大船渡市,7,33540,14765,34,0,3,2,0,0,24,3,11,14,33,39,7
花巻市,7,92385,38726,32,0,3,1,9,7,54,8,15,31,69,17,8
北上市,7,92056,40866,31,1,2,17,19,20,145,18,13,49,64,13,9
久慈市,7,32645,15488,24,0,3,7,0,4,33,3,4,11,25,2,4
遠野市,7,25058,10689,4,0,3,1,0,2,14,0,5,7,14,7,12
一関市,7,109697,46385,56,6,7,14,23,21,114,18,30,47,116,84,17
陸前高田市,7,17970,7609,15,0,3,3,0,2,13,1,4,12,14,25,0
釜石市,7,30624,15881,27,0,6,13,1,8,44,6,6,15,20,18,9
二戸市,7,25138,11715,3,0,1,0,0,0,4,1,3,5,6,6,3
八幡平市,7,23975,10598,0,0,1,0,0,1,4,0,2,7,3,1,12
奥州市,7,111632,46340,25,1,4,4,29,17,135,8,10,27,18,8,4
滝沢市,7,55273,24034,9,1,0,0,0,0,5,0,5,20,50,9,4
雫石町,7,15559,6374,2,0,0,1,0,0,9,0,2,1,9,0,3
葛巻町,7,5607,2678,3,0,0,0,0,0,0,0,0,2,1,0,0
岩手町,7,12133,5374,1,0,0,0,1,2,4,0,1,2,9,7,3
紫波町,7,33049,12814,6,0,0,0,1,0,1,0,0,5,23,6,3
矢巾町,7,26570,10985,7,1,2,2,4,4,17,3,3,6,15,2,1
西和賀町,7,5022,2225,7,0,0,3,2,0,22,0,7,2,18,8,3
金ケ崎町,7,15239,6268,1,0,0,0,0,0,2,1,2,3,9,4,2
平泉町,7,7010,2605,3,0,0,0,1,2,35,1,1,4,4,2,1
住田町,7,4906,2073,4,0,0,0,0,0,0,0,1,3,0,7,1
大槌町,7,10928,5279,5,0,0,1,0,0,5,4,2,5,8,6,3
山田町,7,14486,6475,15,0,2,0,1,1,7,3,8,10,11,36,4
岩泉町,7,8310,4204,9,0,1,0,0,0,0,0,2,4,3,10,1
田野畑村,7,3061,1359,4,0,0,0,0,0,0,0,0,0,1,2,2
普代村,7,2441,1102,4,0,0,0,0,0,1,0,0,0,2,1,3
軽米町,7,8312,3687,1,0,0,1,0,0,0,0,1,2,0,0,0
野田村,7,4027,1661,2,0,0,0,0,0,0,0,2,1,3,1,3
九戸村,7,5365,2183,1,0,0,0,0,0,0,0,0,0,0,0,0
洋野町,7,15421,6787,7,0,1,0,0,0,5,1,3,3,1,2,8
一戸町,7,11233,5482,8,0,1,5,0,3,17,0,3,6,9,24,4
仙台市,7,1067486,537584,405,37,53,189,517,461,2135,211,239,562,1567,1453,56
石巻市,7,136822,62209,107,3,11,15,54,42,341,23,61,94,152,26,13
塩竈市,7,52474,24003,16,0,3,0,32,19,100,6,18,19,91,29,4
気仙沼市,7,58926,26212,44,0,5,5,15,19,156,14,33,46,94,79,2
白石市,7,31968,14174,23,0,2,0,21,12,83,4,20,21,31,9,5
名取市,7,79630,32883,26,1,3,13,28,25,112,22,16,35,97,182,5
角田市,7,27262,11434,16,2,3,1,13,10,57,4,14,15,21,2,4
多賀城市,7,62204,28063,21,0,3,0,25,23,102,12,15,32,148,29,4
岩沼市,7,43656,18670,25,0,3,11,16,18,94,7,19,23,92,78,1
登米市,7,74795,27237,71,0,6,16,20,30,203,9,43,44,73,15,6
栗原市,7,63299,24914,45,1,6,1,39,29,158,4,52,36,40,7,3
東松島市,7,38919,16541,30,0,3,3,17,10,75,4,15,21,74,1,8
大崎市,7,125444,52757,110,2,12,13,56,44,331,23,72,84,165,27,16
富谷市,7,52399,20191,21,0,3,1,19,16,77,7,12,19,90,25,0
蔵王町,7,11264,4550,11,0,2,0,3,2,47,2,9,10,4,0,0
七ヶ宿町,7,1258,619,4,0,0,0,1,0,9,0,3,0,0,1,0
大河原町,7,23578,10297,20,0,2,2,14,14,68,4,10,16,35,2,1
村田町,7,10241,4085,5,0,1,0,1,2,28,0,8,9,2,0,0
柴田町,7,36972,16244,18,1,1,3,15,13,76,3,22,19,59,4,5
丸森町,7,12192,4923,10,0,2,0,3,1,23,0,13,5,1,0,3
亘理町,7,33270,13187,12,0,0,1,15,8,47,1,6,18,37,25,3
山元町,7,11726,4814,8,0,1,1,2,5,22,0,5,8,7,6,2
松島町,7,13321,5720,10,0,1,0,4,2,53,2,6,7,20,7,7
七ヶ浜町,7,18014,6835,10,0,0,1,3,3,13,0,4,5,48,0,0
利府町,7,35960,14035,19,0,2,2,13,11,47,13,14,17,79,19,3
大和町,7,28179,12297,23,1,1,0,12,8,60,1,15,16,33,21,0
大郷町,7,7728,2892,5,0,0,0,1,0,6,0,4,6,1,0,0
大衡村,7,5650,2098,5,0,0,0,1,1,8,0,0,4,4,0,0
色麻町,7,6401,2083,3,0,2,0,0,1,10,0,2,3,4,0,0
加美町,7,21774,8246,28,0,0,0,13,10,51,2,22,7,3,0,0
涌谷町,7,14930,5985,14,0,5,0,5,5,37,0,12,7,21,5,3
女川町,7,5982,3019,5,0,1,0,0,1,22,2,1,5,8,20,2
南三陸町,7,11979,4452,7,0,1,0,0,0,27,0,6,8,13,14,0
秋田市,7,300470,146859,104,4,25,35,148,125,697,65,70,164,728,276,13
能代市,7,49353,24130,20,0,5,5,10,2,65,9,16,17,127,24,8
横手市,7,84294,34037,30,3,5,30,21,36,167,26,25,46,199,336,7
大館市,7,68083,31508,35,2,8,2,21,18,95,10,16,33,146,22,10
男鹿市,7,24784,12523,13,0,1,2,3,6,34,1,5,6,63,4,5
湯沢市,7,41479,17656,14,1,1,5,16,15,91,8,13,19,63,13,8
鹿角市,7,28473,12611,16,0,5,1,5,6,48,1,13,13,111,18,8
由利本荘市,7,72753,30810,33,0,8,1,25,18,214,8,38,48,161,17,19
潟上市,7,31836,14153,15,0,2,3,10,7,36,2,15,15,90,5,6
大仙市,7,76537,31583,42,1,7,7,2,2,22,4,19,38,141,13,10
北秋田市,7,29339,13649,18,1,1,4,7,9,49,2,11,14,112,42,21
にかほ市,7,23047,9404,8,0,2,0,6,5,47,0,5,5,57,11,5
仙北市,7,24100,10411,16,0,1,2,1,1,66,4,5,17,66,17,14
小坂町,7,4688,2294,2,0,0,0,0,1,4,0,1,2,18,2,0
上小阿仁村,7,2029,1043,1,0,0,0,0,0,1,0,0,1,10,1,0
藤里町,7,2899,1316,1,0,0,2,0,0,6,1,1,0,18,1,0
三種町,7,15020,6757,9,0,2,3,2,1,7,0,6,4,54,8,4
八峰町,7,6473,2981,4,0,0,0,0,1,4,0,0,1,20,4,6
五城目町,7,8369,3883,3,0,1,1,0,0,10,0,0,3,28,0,0
八郎潟町,7,5376,2427,4,0,1,0,3,3,12,0,2,5,22,3,1
井川町,7,4386,1719,2,0,0,2,0,3,1,0,1,1,20,2,1
大潟村,7,3010,1133,1,0,0,0,0,0,0,0,1,2,28,0,0
羽後町,7,13642,5142,7,0,1,1,0,1,23,0,3,3,20,0,0
東成瀬村,7,2392,964,2,0,0,0,0,0,1,0,0,1,6,0,0
山形市,7,240441,105603,86,2,15,30,68,69,385,41,55,108,160,30,12
米沢市,7,77232,33605,32,1,5,1,38,28,246,5,30,36,5,17,9
鶴岡市,7,120398,49436,43,1,7,3,71,32,257,16,46,45,155,168,10
酒田市,7,97395,42659,43,1,7,67,23,38,295,14,37,49,114,319,5
新庄市,7,33374,13820,23,0,5,0,20,19,111,4,16,19,18,6,5
寒河江市,7,40086,14594,15,0,1,2,21,16,122,5,12,17,31,7,5
上山市,7,28584,11234,8,0,2,0,13,8,80,1,19,10,2,2,3
村山市,7,22232,8007,7,0,0,0,10,7,54,0,13,9,2,2,2
長井市,7,25276,10007,7,0,1,1,15,12,84,4,10,12,5,5,7
天童市,7,61052,22867,24,1,3,1,31,21,141,10,15,33,30,6,4
東根市,7,47982,18528,12,0,1,0,21,12,88,11,12,21,12,1,3
尾花沢市,7,14433,5241,4,0,0,0,7,4,44,0,13,7,1,0,1
南陽市,7,29848,11448,11,0,2,7,14,11,88,0,13,10,5,2,7
山辺町,7,13685,4842,5,0,0,0,5,2,14,1,2,2,2,1,1
中山町,7,10722,3743,3,0,0,0,4,5,11,0,2,3,5,2,2
河北町,7,17322,6288,6,0,1,0,7,2,48,1,9,6,5,0,0
西川町,7,4775,1789,1,0,1,0,0,0,11,0,5,1,0,0,0
大江町,7,7429,2800,1,0,0,0,1,3,17,0,0,2,0,1,1
大石田町,7,6322,2245,2,0,0,0,3,1,10,0,4,0,0,2,2
最上町,7,7797,2790,9,0,2,0,1,0,11,0,8,4,1,1,7
舟形町,7,4887,1845,2,0,0,0,1,0,2,0,0,1,0,0,3
真室川町,7,6884,2571,10,0,2,0,0,0,11,0,4,2,2,9,4
大蔵村,7,2939,1034,4,0,0,0,1,0,4,0,1,0,0,25,0
鮭川村,7,3871,1334,1,0,0,0,0,0,2,0,0,0,0,1,1
戸沢村,7,4071,1545,1,0,0,0,0,0,6,1,4,4,0,1,3
高畠町,7,22094,7796,9,0,0,4,6,6,46,1,6,13,3,9,2
白鷹町,7,12758,4706,6,0,1,0,0,0,20,1,3,3,2,1,4
飯豊町,7,6530,2310,3,0,0,0,1,0,5,0,1,2,3,3,3
三川町,7,7195,2475,6,0,1,0,1,0,19,4,5,3,13,0,0
庄内町,7,19897,7115,5,0,2,0,5,4,36,2,4,3,24,1,6
遊佐町,7,12796,4934,6,0,1,1,0,0,19,0,5,2,9,9,3
福島市,7,270744,124704,92,2,11,11,5,7,88,37,34,102,120,270,22
会津若松市,7,114200,52290,59,2,11,85,3,33,272,49,52,66,111,83,13
郡山市,7,317486,144812,85,1,8,17,0,9,191,28,37,77,103,22,12
いわき市,7,310890,146722,140,2,20,24,6,20,144,52,41,118,141,64,15
白河市,7,58743,25138,13,0,2,9,0,2,76,4,8,30,11,18,3
須賀川市,7,74634,30266,7,0,0,0,0,3,5,4,8,21,3,9,3
喜多方市,7,45078,18757,36,0,11,8,0,8,78,0,5,17,13,5,6
相馬市,7,33355,14328,15,0,1,9,0,4,35,6,5,16,15,6,2
二本松市,7,52162,20520,5,0,0,0,1,0,12,0,1,11,14,9,3
田村市,7,34264,12822,5,0,2,0,0,0,7,1,4,9,1,0,6
南相馬市,7,57527,24499,26,0,2,10,0,2,56,5,8,31,24,34,5
本宮市,7,29958,11278,4,0,0,0,1,0,13,4,3,5,2,4,2
桑折町,7,11229,4604,5,0,0,0,0,0,0,0,0,0,2,2,1
国見町,7,8400,3388,0,0,0,0,0,0,0,0,0,0,1,4,2
川俣町,7,11958,5349,5,0,0,0,0,0,0,1,1,4,0,0,0
大玉村,7,8762,3067,3,0,1,0,0,0,5,0,1,3,0,0,0
鏡石町,7,12531,4929,3,0,0,6,0,0,6,0,3,6,2,2,1
天栄村,7,5304,1982,0,0,0,0,0,0,4,0,0,2,0,3,0
下郷町,7,5123,2166,5,0,0,0,1,0,22,0,0,3,8,34,6
檜枝岐村,7,521,202,0,0,0,0,0,0,2,1,0,1,0,3,0
只見町,7,3961,1833,12,0,1,1,0,1,4,2,4,2,0,1,3
南会津町,7,14176,6445,14,0,1,5,1,1,7,0,2,7,6,10,8
北塩原村,7,2478,1071,6,0,0,0,1,0,12,0,0,2,0,1,0
西会津町,7,5694,2528,1,0,0,0,0,0,4,0,1,1,1,0,4
磐梯町,7,3289,1197,0,0,0,0,0,0,6,1,1,2,0,0,1
猪苗代町,7,13145,5333,8,0,0,1,0,0,35,2,2,3,2,8,6
会津坂下町,7,14777,5820,5,0,1,0,0,2,4,0,4,6,7,1,4
湯川村,7,3073,1024,3,0,0,0,0,0,1,0,0,2,0,0,1
柳津町,7,3042,1249,3,0,0,0,0,0,6,2,1,1,8,4,3
三島町,7,1414,695,3,0,0,0,0,0,6,1,0,2,2,2,4
会津美里町,7,18944,7297,14,0,1,0,0,0,3,0,2,4,8,0,3
西郷村,7,20317,8562,3,0,0,1,1,3,18,1,1,8,1,24,1
泉崎村,7,6205,2382,0,0,0,0,0,0,2,0,0,5,0,1,1
中島村,7,4860,1713,2,0,0,0,0,0,0,0,0,0,0,0,0
矢吹町,7,16960,6864,5,0,0,0,0,0,10,3,2,6,6,2,1
棚倉町,7,13277,5110,3,0,0,0,0,0,2,0,3,5,0,3,3
矢祭町,7,5352,2084,4,0,0,0,0,0,0,0,0,2,1,29,4
塙町,7,8195,3296,2,0,0,0,0,0,0,0,1,1,0,2,1
鮫川村,7,3033,1070,2,0,0,0,0,0,0,0,0,0,0,0,0
石川町,7,14122,5693,2,0,0,0,0,0,0,0,1,2,2,3,2
玉川村,7,6312,2205,0,0,0,0,0,0,0,0,0,3,3,1,2
平田村,7,5625,2181,0,0,1,0,0,0,9,0,2,2,10,0,0
浅川町,7,5984,2167,0,0,0,0,0,0,0,0,0,3,0,2,2
古殿町,7,4774,1730,0,0,0,0,0,0,0,0,0,2,0,0,0
三春町,7,16489,6520,7,0,0,0,0,0,5,2,1,1,4,0,1
小野町,7,9313,3726,1,0,0,0,0,0,0,0,2,2,0,0,2
広野町,7,4672,2272,4,0,2,0,1,0,4,1,1,5,7,3,1
楢葉町,7,6648,3153,2,0,1,0,0,1,10,0,1,4,2,6,3
富岡町,7,11736,5645,5,0,1,1,0,0,3,3,1,4,3,22,2
川内村,7,2366,1179,0,0,0,0,0,0,0,0,0,2,1,0,0
大熊町,7,10002,3914,6,0,2,1,0,0,5,0,1,1,5,4,1
双葉町,7,5539,2197,4,0,0,0,0,0,2,0,0,1,0,2,1
浪江町,7,15590,6666,8,0,0,1,0,0,13,0,2,4,3,2,1
葛尾村,7,1307,489,0,0,0,0,0,0,0,0,0,0,0,0,0
新地町,7,7716,2937,5,0,1,2,0,0,7,0,1,6,12,4,2
飯舘村,7,4824,1808,2,0,0,0,0,0,0,0,0,2,2,0,0
水戸市,7,270010,130100,80,10,16,83,32,29,202,55,32,137,114,1206,7
日立市,7,169785,81828,53,1,9,0,6,2,53,25,29,55,261,715,5
土浦市,7,141418,69840,41,3,5,1,1,2,44,13,25,67,220,401,3
古河市,7,140959,63896,41,2,8,12,7,7,104,13,22,60,40,304,1
石岡市,7,71817,31700,29,0,7,0,1,2,18,7,9,31,51,350,2
結城市,7,50349,21103,14,0,2,3,2,0,14,6,11,23,13,14,3
龍ケ崎市,7,75813,35137,24,0,5,1,0,0,23,7,10,22,80,216,4
下妻市,7,42419,17715,12,0,0,2,2,4,30,6,7,11,18,42,4
常総市,7,61562,25592,17,0,6,2,2,4,24,5,5,19,34,95,7
常陸太田市,7,48222,21117,29,0,0,0,3,0,7,3,4,19,21,586,3
高萩市,7,26866,12685,12,0,1,0,0,0,5,1,3,7,28,109,1
北茨城市,7,41448,19216,20,0,1,1,1,0,7,4,6,8,34,7,3
笠間市,7,73787,32299,23,1,2,0,0,0,20,9,9,22,31,183,6
取手市,7,106011,50447,31,0,7,4,1,0,20,8,14,23,79,250,9
牛久市,7,84293,37922,20,1,5,1,3,4,34,13,9,25,114,175,2
つくば市,7,252202,114685,88,2,20,16,14,16,276,45,37,127,211,770,6
ひたちなか市,7,156435,70965,33,1,2,0,4,2,33,18,20,51,133,414,14
鹿嶋市,7,66274,30904,23,0,10,0,0,0,17,7,13,27,12,0,6
潮来市,7,26890,11498,12,0,2,0,0,0,16,2,1,7,18,1,2
守谷市,7,70414,29768,19,0,4,2,0,0,4,27,7,14,68,134,4
常陸大宮市,7,39370,17580,20,0,0,5,0,2,13,3,7,15,24,319,6
那珂市,7,53839,23313,16,1,0,0,0,0,10,4,6,21,10,140,9
筑西市,7,101606,42928,30,0,5,2,3,5,29,4,11,42,31,76,9
坂東市,7,52639,21201,21,0,1,0,3,0,9,1,4,11,25,141,0
稲敷市,7,38377,16362,20,0,3,1,0,0,9,5,1,18,14,134,0
かすみがうら市,7,40628,18142,13,0,0,0,0,0,3,5,4,12,27,167,0
桜川市,7,39041,15478,19,0,0,0,0,0,9,2,4,18,29,49,3
神栖市,7,94710,43503,30,0,2,11,4,16,75,24,13,60,100,7,0
行方市,7,32502,13000,12,0,1,0,0,0,11,1,4,13,10,72,0
鉾田市,7,47181,21169,29,0,2,0,0,2,3,3,2,17,6,108,6
つくばみらい市,7,53004,22034,21,0,0,0,0,1,2,0,6,12,26,118,2
小美玉市,7,49224,21541,19,0,2,0,0,0,1,2,3,14,16,299,1
茨城町,7,31098,13382,7,3,1,0,0,0,3,2,4,12,11,108,0
大洗町,7,15932,7635,6,0,0,7,0,4,55,4,4,9,20,134,1
城里町,7,18379,7918,10,0,0,0,0,1,0,0,5,9,2,135,0
東海村,7,38424,16808,8,0,2,0,0,0,14,4,3,13,7,91,1
大子町,7,15444,7151,18,0,0,0,0,0,8,0,1,3,3,252,5
美浦村,7,14605,7143,5,0,1,0,0,0,0,0,1,3,20,47,0
阿見町,7,49161,22254,17,0,2,0,1,0,13,4,5,15,72,142,0
河内町,7,8140,3398,2,0,0,0,0,0,0,1,0,3,1,0,0
八千代町,7,21224,7909,6,0,0,0,0,0,0,0,2,8,6,15,0
五霞町,7,8112,3370,3,0,0,0,0,0,2,0,0,3,15,34,0
境町,7,24785,10095,7,0,2,0,1,1,3,2,7,6,4,49,0
