city,level,population,households,school,college,hospital,doctors,clinic,dentist,restaurant,fast_food,supermarket,convenience,park,platform,station
波佐見町,7,14283,5352,11,0,2,0,0,0,1,0,1,3,2,1,0
小値賀町,7,2239,1215,5,0,0,0,0,0,3,0,0,0,0,4,0
佐々町,7,14103,6208,4,0,1,0,0,0,6,0,4,2,14,0,4
新上五島町,7,17611,8511,28,0,3,1,0,1,0,0,1,0,1,0,0
熊本市,7,731476,354338,208,5,110,30,12,23,246,39,52,151,303,254,32
八代市,7,122625,57395,66,1,14,2,0,2,14,1,5,9,55,23,12
人吉市,7,30734,15187,14,0,12,1,3,1,17,3,5,13,13,6,6
荒尾市,7,50415,24066,32,0,5,0,0,0,3,0,0,4,26,5,2
水俣市,7,22709,11255,19,0,9,0,0,0,1,0,1,2,10,2,4
玉名市,7,64066,28367,33,0,5,4,0,6,22,7,9,21,37,6,4
山鹿市,7,49397,21933,32,0,7,0,0,0,2,0,0,0,4,2,0
菊池市,7,47103,19960,22,1,7,6,3,5,9,2,1,12,12,1,0
宇土市,7,36483,15769,11,0,14,0,0,0,4,3,8,10,42,3,6
上天草市,7,25015,11299,29,1,1,1,0,0,3,0,2,8,6,2,0
宇城市,7,57562,25111,24,1,6,3,1,4,11,1,6,5,40,2,5
阿蘇市,7,24751,11553,18,0,6,1,0,0,23,4,3,9,9,7,8
天草市,7,75101,36314,72,1,14,0,0,1,26,5,15,23,43,0,0
合志市,7,64474,26074,15,2,5,0,0,0,4,1,5,7,15,7,7
玉東町,7,5241,2105,3,0,0,0,0,0,0,0,0,0,0,0,1
南関町,7,9001,4067,5,0,0,0,0,0,0,0,0,3,10,0,0
長洲町,7,15506,7284,6,0,1,0,0,0,1,0,3,1,2,0,1
和水町,7,9303,3794,10,0,1,0,0,0,1,0,0,0,3,0,0
大津町,7,36030,15717,11,0,1,0,0,0,8,4,2,5,9,8,2
菊陽町,7,43714,18921,9,0,10,0,0,0,18,3,5,7,11,2,2
南小国町,7,3850,1793,5,0,0,0,0,0,14,0,2,1,0,2,0
産山村,7,1411,631,3,0,0,0,0,0,2,0,0,0,0,0,0
西原村,7,6926,2901,3,0,0,0,0,0,1,0,0,3,0,0,0
南阿蘇村,7,10155,4703,11,1,1,0,0,0,7,0,0,6,3,2,9
御船町,7,17051,7426,11,0,1,0,0,0,2,0,5,1,2,0,0
嘉島町,7,10072,4039,5,0,2,0,0,0,1,0,0,2,7,0,0
益城町,7,33718,14152,10,0,6,0,0,0,3,0,3,5,10,7,0
甲佐町,7,10273,4437,6,0,2,1,0,0,0,1,3,2,0,0,0
山都町,7,13623,6342,14,0,5,0,0,0,1,0,0,0,2,0,0
氷川町,7,11179,4553,5,0,1,0,0,0,1,0,0,0,1,0,0
芦北町,7,15724,6995,16,0,2,0,0,0,0,0,0,1,1,6,9
津奈木町,7,4324,1894,4,0,0,0,0,0,0,0,0,0,1,0,1
錦町,7,10282,3954,5,0,0,2,0,0,16,3,5,5,4,6,3
多良木町,7,8828,3686,12,0,1,0,0,0,0,0,0,0,3,0,4
湯前町,7,3608,1537,5,0,0,0,0,1,4,0,0,1,3,0,1
水上村,7,2035,856,2,0,1,0,0,0,0,0,0,0,0,0,0
